ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1611529200361779808,1611529200000000000,0,1,43150,T,N,0,16000000,3,4,22846,63324,NG:BF J1-K1-M1
1611529200361810472,1611529200000000000,0,1,143984,T,N,0,3049000000,1,4,20116,63325,NGF2
1611529200362212737,1611529200000000000,0,1,111293,T,N,0,2542000000,45,4,23152,63326,NGG1
1611529200364656254,1611529200000000000,0,1,215880,T,N,0,6000000,12,4,22788,63327,NGG1-NGH1
1611529200367898921,1611529200000000000,0,1,24463,T,N,0,-23000000,3,4,20638,63328,NGG1-NGJ1
1611529200370780347,1611529200000000000,0,1,111294,T,N,0,2530000000,81,4,27468,63329,NGH1
1611529200376510835,1611529200000000000,0,1,24512,T,N,0,-36000000,92,4,25759,63330,NGH1-NGJ1
1611529200385125546,1611529200000000000,0,1,204963,T,N,0,-86000000,1,4,26415,63331,NGH1-NGK1
1611529200385415698,1611529200000000000,0,1,111296,T,N,0,2566000000,25,4,26287,63332,NGJ1
1611529200386223368,1611529200000000000,0,1,204979,T,N,0,-46000000,29,4,21727,63333,NGJ1-NGK1
1611529200388519253,1611529200000000000,0,1,121360,T,N,0,-109000000,1,4,19510,63334,NGJ1-NGM1
1611529200388865654,1611529200000000000,0,1,41645,T,N,0,-227000000,2,4,18974,63335,NGJ1-NGV1
1611529200389141019,1611529200000000000,0,1,121372,T,N,0,-64000000,18,4,18787,63336,NGK1-NGM1
1611529200389740084,1611529200000000000,0,1,62831,T,N,0,-70000000,100,4,19493,63337,NGM1-NGN1
1611529200390953154,1611529200000000000,0,1,15052,T,N,0,-26000000,50,4,20719,63338,NGN1-NGQ1
1611529200393695136,1611529200000000000,0,1,111303,T,N,0,2765000000,4,4,19588,63339,NGQ1
1611529200429917958,1611529200000000000,0,1,121372,T,N,0,-64000000,1,4,22029,63436,NGK1-NGM1
1611529200429917958,1611529200000000000,0,1,204979,T,N,0,-47000000,1,4,22029,63436,NGJ1-NGK1
1611529200429917958,1611529200000000000,0,1,111296,T,N,0,2566000000,1,4,22029,63436,NGJ1
1611529200429917958,1611529200000000000,0,1,111294,T,N,0,2532000000,1,4,22029,63436,NGH1
1611529200429917958,1611529200000000000,0,1,24463,T,N,0,-24000000,1,4,22029,63436,NGG1-NGJ1
1611529200429917958,1611529200000000000,0,1,215880,T,N,0,6000000,1,4,22029,63436,NGG1-NGH1
1611529200429917958,1611529200000000000,0,1,111293,T,N,0,2538000000,1,4,22029,63436,NGG1
1611529200429917958,1611529200000000000,0,1,111293,T,N,0,2542000000,1,4,22029,63436,NGG1
1611529200429917958,1611529200000000000,0,1,43150,T,N,0,17000000,1,4,22029,63436,NG:BF J1-K1-M1
1611529200509451045,1611529200084431559,0,1,111294,T,B,0,2532000000,3,4,19370,63657,NGH1
1611529200509451045,1611529200084431559,0,1,111294,T,B,0,2533000000,5,4,19370,63657,NGH1
1611529200509451045,1611529200084431559,0,1,111296,T,N,0,2567000000,1,4,19370,63657,NGJ1
1611529200509451045,1611529200084431559,0,1,24512,T,N,0,-35000000,1,4,19370,63657,NGH1-NGJ1
1611529200509464573,1611529200084431559,0,1,111294,T,B,0,2533000000,1,4,17477,63658,NGH1
1611529200509475529,1611529200084431559,0,1,111294,T,B,0,2533000000,2,4,18613,63659,NGH1
1611529200509475529,1611529200084431559,0,1,111294,T,B,0,2535000000,3,4,18613,63659,NGH1
1611529200529695556,1611529200156470373,0,1,111296,T,B,0,2566000000,1,132,19069,63729,NGJ1
1611529200529695556,1611529200156470373,0,1,111293,T,N,0,2542000000,1,4,19069,63729,NGG1
1611529200529695556,1611529200156470373,0,1,24463,T,N,0,-24000000,1,4,19069,63729,NGG1-NGJ1
1611529200545808403,1611529200365587711,0,1,215880,T,A,0,5000000,2,4,19520,63769,NGG1-NGH1
1611529200545808403,1611529200365587711,0,1,215880,T,A,0,4000000,1,4,19520,63769,NGG1-NGH1
1611529200545808403,1611529200365587711,0,1,215880,T,A,0,3000000,5,4,19520,63769,NGG1-NGH1
1611529200546037995,1611529200368688025,0,1,215880,T,N,0,4000000,1,4,18752,63773,NGG1-NGH1
1611529200546037995,1611529200368688025,0,1,111293,T,N,0,2537000000,1,4,18752,63773,NGG1
1611529200546037995,1611529200368688025,0,1,111294,T,A,0,2533000000,1,132,18752,63773,NGH1
1611529200546783077,1611529200368688025,0,1,24512,T,B,0,-35000000,1,4,18790,63775,NGH1-NGJ1
1611529200547984463,1611529200377134525,0,1,215880,T,B,0,4000000,1,4,18135,63785,NGG1-NGH1
1611529200548785621,1611529200386776835,0,1,24512,T,N,0,-36000000,1,4,17753,63789,NGH1-NGJ1
1611529200548785621,1611529200386776835,0,1,204979,T,A,0,-46000000,1,132,17753,63789,NGJ1-NGK1
1611529200548785621,1611529200386776835,0,1,8605,T,N,0,10000000,1,4,17753,63789,NG:BF H1-J1-K1
1611529200548935321,1611529200386843689,0,1,24512,T,A,0,-36000000,1,4,18214,63791,NGH1-NGJ1
1611529200550167828,1611529200401786543,0,1,215880,T,B,0,4000000,5,4,17952,63799,NGG1-NGH1
1611529200553858032,1611529200401852273,0,1,24512,T,B,0,-35000000,1,4,18701,63820,NGH1-NGJ1
1611529200565178688,1611529200401958301,0,1,215880,T,B,0,4000000,1,4,19061,63898,NGG1-NGH1
