ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1610928000299489357,1610928000298767649,0,1,62635,T,N,0,-176000000,1,0,19034,175259,NGJ1-NGN1
1610928000299489357,1610928000298767649,0,1,111301,T,N,0,2810000000,1,0,19034,175259,NGN1
1610928000299489357,1610928000298767649,0,1,111296,T,A,0,2634000000,1,128,19034,175259,NGJ1
1610928001615715731,1610928001615161053,0,1,111293,T,A,0,2640000000,2,0,21033,175334,NGG1
1610928004701596492,1610928004701031857,0,1,62635,T,A,0,-176000000,1,0,19120,175423,NGJ1-NGN1
1610928008549611047,1610928008549083769,0,1,111293,T,B,0,2640000000,1,0,27859,175577,NGG1
1610928008551215500,1610928008550830975,0,1,111296,T,A,0,2633000000,1,0,18029,175594,NGJ1
1610928018833952412,1610928018833184875,0,1,111293,T,N,0,2640000000,1,0,19208,175761,NGG1
1610928018833952412,1610928018833184875,0,1,215880,T,B,0,26000000,1,128,19208,175761,NGG1-NGH1
1610928018833952412,1610928018833184875,0,1,111294,T,N,0,2614000000,1,0,19208,175761,NGH1
1610928018834532298,1610928018833970725,0,1,111294,T,N,0,2614000000,1,0,22632,175775,NGH1
1610928018834532298,1610928018833970725,0,1,111296,T,A,0,2633000000,1,128,22632,175775,NGJ1
1610928018834532298,1610928018833970725,0,1,24512,T,N,0,-19000000,1,0,22632,175775,NGH1-NGJ1
1610928024953652792,1610928024952594861,0,1,111294,T,B,0,2615000000,1,0,21264,175811,NGH1
1610928024954344491,1610928024953684651,0,1,111294,T,N,0,2615000000,3,0,20885,175817,NGH1
1610928024954344491,1610928024953684651,0,1,215880,T,B,0,26000000,3,128,20885,175817,NGG1-NGH1
1610928024954344491,1610928024953684651,0,1,111293,T,N,0,2641000000,3,0,20885,175817,NGG1
1610928024954597798,1610928024953687869,0,1,111294,T,A,0,2615000000,1,0,17916,175822,NGH1
1610928024957844348,1610928024957073339,0,1,19540,T,B,0,-277000000,1,0,19454,175896,NGV1-NGF2
1610928024970478941,1610928024969970845,0,1,19540,T,B,0,-277000000,1,0,18119,175972,NGV1-NGF2
1610928031271775583,1610928031271071687,0,1,111294,T,B,0,2614000000,1,0,29686,176093,NGH1
1610928032940666704,1610928032940230533,0,1,111294,T,B,0,2615000000,1,0,21217,176199,NGH1
1610928032941354002,1610928032940789863,0,1,111294,T,N,0,2615000000,2,0,19528,176206,NGH1
1610928032941354002,1610928032940789863,0,1,111293,T,N,0,2641000000,2,0,19528,176206,NGG1
1610928032941354002,1610928032940789863,0,1,215880,T,B,0,26000000,2,128,19528,176206,NGG1-NGH1
1610928032941810769,1610928032941368035,0,1,111294,T,A,0,2615000000,2,0,18936,176221,NGH1
