ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1607900400306304812,1607900400000000000,0,1,111291,T,N,0,2658000000,86,4,25037,59148,NGF1
1607900400311209335,1607900400000000000,0,1,15228,T,N,0,-7000000,60,4,20975,59149,NGF1-NGG1
1607900400314721398,1607900400000000000,0,1,215879,T,N,0,6000000,6,4,19609,59150,NGF1-NGH1
1607900400315294116,1607900400000000000,0,1,24441,T,N,0,19000000,1,4,18696,59151,NGF1-NGJ1
1607900400315844923,1607900400000000000,0,1,111293,T,N,0,2664000000,30,4,20680,59152,NGG1
1607900400320656664,1607900400000000000,0,1,215880,T,N,0,13000000,13,4,19911,59153,NGG1-NGH1
1607900400322022870,1607900400000000000,0,1,111294,T,N,0,2649000000,33,4,28374,59154,NGH1
1607900400327155277,1607900400000000000,0,1,24512,T,N,0,7000000,167,4,21294,59155,NGH1-NGJ1
1607900400329301409,1607900400000000000,0,1,111296,T,N,0,2639000000,1,4,19397,59156,NGJ1
1607900400329379007,1607900400000000000,0,1,204979,T,N,0,-14000000,7,4,18692,59157,NGJ1-NGK1
1607900400329513341,1607900400000000000,0,1,41645,T,N,0,-140000000,7,4,17536,59158,NGJ1-NGV1
1607900400329663388,1607900400000000000,0,1,62831,T,N,0,-59000000,1,4,18639,59159,NGM1-NGN1
1607900400329905003,1607900400000000000,0,1,111311,T,N,0,2780000000,8,4,18461,59160,NGV1
1607900400362682655,1607900400000000000,0,1,111296,T,N,0,2650000000,1,4,18008,59255,NGJ1
1607900400362682655,1607900400000000000,0,1,111293,T,N,0,2664000000,1,4,18008,59255,NGG1
1607900400362682655,1607900400000000000,0,1,24463,T,N,0,14000000,1,4,18008,59255,NGG1-NGJ1
1607900400435261659,1607900400008093745,0,1,111293,T,B,0,2666000000,2,4,19665,59468,NGG1
1607900400435261659,1607900400008093745,0,1,111293,T,B,0,2667000000,1,4,19665,59468,NGG1
1607900400435261659,1607900400008093745,0,1,15228,T,N,0,-8000000,1,4,19665,59468,NGF1-NGG1
1607900400435261659,1607900400008093745,0,1,111291,T,N,0,2659000000,1,4,19665,59468,NGF1
