ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1607295600421962281,1607295600000000000,0,1,111291,T,N,0,2456000000,176,4,28737,60286,NGF1
1607295600430424957,1607295600000000000,0,1,15228,T,N,0,-13000000,75,4,21244,60289,NGF1-NGG1
1607295600432928848,1607295600000000000,0,1,215879,T,N,0,19000000,108,4,19854,60290,NGF1-NGH1
1607295600434635149,1607295600000000000,0,1,24441,T,N,0,58000000,270,4,20122,60291,NGF1-NGJ1
1607295600437422948,1607295600000000000,0,1,111293,T,N,0,2471000000,27,4,23367,60292,NGG1
1607295600440587558,1607295600000000000,0,1,215880,T,N,0,32000000,5,4,20450,60293,NGG1-NGH1
1607295600442511702,1607295600000000000,0,1,111294,T,N,0,2439000000,8,4,20536,60294,NGH1
1607295600442854170,1607295600000000000,0,1,24512,T,N,0,28000000,56,4,20501,60295,NGH1-NGJ1
1607295600445336737,1607295600000000000,0,1,121353,T,N,0,-20000000,3,4,19858,60296,NGH1-NGM1
1607295600445953972,1607295600000000000,0,1,111296,T,N,0,2418000000,16,4,20110,60297,NGJ1
1607295600446316659,1607295600000000000,0,1,204979,T,N,0,-12000000,1,4,19141,60298,NGJ1-NGK1
1607295600446806462,1607295600000000000,0,1,111298,T,N,0,2421000000,1,4,18876,60299,NGK1
1607295600446939626,1607295600000000000,0,1,121372,T,N,0,-46000000,21,4,18525,60300,NGK1-NGM1
1607295600447482613,1607295600000000000,0,1,111299,T,N,0,2473000000,4,4,18746,60301,NGM1
1607295600447852916,1607295600000000000,0,1,62831,T,N,0,-59000000,29,4,18834,60302,NGM1-NGN1
1607295600449995372,1607295600000000000,0,1,111301,T,N,0,2546000000,2,4,19119,60303,NGN1
1607295600450194508,1607295600000000000,0,1,111303,T,N,0,2561000000,2,4,18137,60304,NGQ1
1607295600450559235,1607295600000000000,0,1,209631,T,N,0,-79000000,25,4,20071,60305,NGV1-NGX1
1607295600453905445,1607295600000000000,0,1,158336,T,N,0,-139000000,5,4,20304,60306,NGX1-NGZ1
1607295600489212679,1607295600000000000,0,1,158336,T,N,0,-140000000,2,4,24960,60409,NGX1-NGZ1
1607295600489212679,1607295600000000000,0,1,158336,T,N,0,-141000000,3,4,24960,60409,NGX1-NGZ1
1607295600489212679,1607295600000000000,0,1,209631,T,N,0,-77000000,5,4,24960,60409,NGV1-NGX1
1607295600489212679,1607295600000000000,0,1,62831,T,N,0,-60000000,3,4,24960,60409,NGM1-NGN1
1607295600489212679,1607295600000000000,0,1,121372,T,N,0,-46000000,3,4,24960,60409,NGK1-NGM1
1607295600489212679,1607295600000000000,0,1,111296,T,N,0,2408000000,1,4,24960,60409,NGJ1
1607295600489212679,1607295600000000000,0,1,111296,T,N,0,2406000000,1,4,24960,60409,NGJ1
1607295600489212679,1607295600000000000,0,1,111294,T,N,0,2438000000,1,4,24960,60409,NGH1
1607295600489212679,1607295600000000000,0,1,111293,T,N,0,2470000000,2,4,24960,60409,NGG1
1607295600489212679,1607295600000000000,0,1,24441,T,N,0,49000000,1,4,24960,60409,NGF1-NGJ1
1607295600489212679,1607295600000000000,0,1,24441,T,N,0,51000000,1,4,24960,60409,NGF1-NGJ1
1607295600489212679,1607295600000000000,0,1,215879,T,N,0,19000000,1,4,24960,60409,NGF1-NGH1
1607295600489212679,1607295600000000000,0,1,15228,T,N,0,-13000000,2,4,24960,60409,NGF1-NGG1
1607295600489212679,1607295600000000000,0,1,111291,T,N,0,2457000000,5,4,24960,60409,NGF1
1607295600489212679,1607295600000000000,0,1,15052,T,N,0,-20000000,10,4,24960,60409,NGN1-NGQ1
1607295600489212679,1607295600000000000,0,1,10285,T,N,0,63000000,2,4,24960,60409,NG:BF V1-X1-Z1
1607295600489212679,1607295600000000000,0,1,10285,T,N,0,64000000,3,4,24960,60409,NG:BF V1-X1-Z1
1607295600489212679,1607295600000000000,0,1,34802,T,N,0,14000000,3,4,24960,60409,NG:BF K1-M1-N1
1607295600489212679,1607295600000000000,0,1,282784,T,N,0,12000000,10,4,24960,60409,NGQ1-NGU1
1607295600489212679,1607295600000000000,0,1,32906,T,N,0,-32000000,10,4,24960,60409,NG:BF N1-Q1-U1
1607295600489302891,1607295600000000000,0,1,111291,T,N,0,2455000000,1,4,20224,60410,NGF1
1607295600489302891,1607295600000000000,0,1,111291,T,N,0,2453000000,1,4,20224,60410,NGF1
1607295600489302891,1607295600000000000,0,1,15228,T,N,0,-12000000,2,4,20224,60410,NGF1-NGG1
1607295600489302891,1607295600000000000,0,1,111293,T,A,0,2467000000,1,4,20224,60410,NGG1
1607295600489302891,1607295600000000000,0,1,111293,T,A,0,2465000000,1,4,20224,60410,NGG1
1607295600489324563,1607295600000000000,0,1,111293,T,A,0,2464000000,4,4,18175,60411,NGG1
1607295600489324563,1607295600000000000,0,1,15228,T,N,0,-12000000,2,4,18175,60411,NGF1-NGG1
1607295600489324563,1607295600000000000,0,1,111291,T,N,0,2452000000,2,4,18175,60411,NGF1
1607295600489332975,1607295600000000000,0,1,111291,T,A,0,2451000000,1,4,19247,60412,NGF1
1607295600489348723,1607295600000000000,0,1,111291,T,N,0,2450000000,5,4,18414,60413,NGF1
1607295600489348723,1607295600000000000,0,1,15228,T,N,0,-12000000,5,4,18414,60413,NGF1-NGG1
1607295600489348723,1607295600000000000,0,1,111293,T,A,0,2462000000,5,4,18414,60413,NGG1
1607295600489369287,1607295600000000000,0,1,111291,T,A,0,2450000000,1,4,17710,60414,NGF1
1607295600489380363,1607295600000000000,0,1,111291,T,A,0,2449000000,1,4,19934,60415,NGF1
1607295600489380363,1607295600000000000,0,1,24441,T,N,0,58000000,1,4,19934,60415,NGF1-NGJ1
1607295600489380363,1607295600000000000,0,1,111296,T,N,0,2391000000,1,4,19934,60415,NGJ1
1607295600489395739,1607295600000000000,0,1,111296,T,N,0,2391000000,1,4,18538,60416,NGJ1
1607295600489395739,1607295600000000000,0,1,24441,T,N,0,58000000,1,4,18538,60416,NGF1-NGJ1
1607295600489395739,1607295600000000000,0,1,111291,T,A,0,2449000000,1,4,18538,60416,NGF1
1607295600489411167,1607295600000000000,0,1,111291,T,A,0,2449000000,1,4,18765,60417,NGF1
1607295600489411167,1607295600000000000,0,1,24441,T,N,0,58000000,1,4,18765,60417,NGF1-NGJ1
1607295600489411167,1607295600000000000,0,1,111296,T,N,0,2391000000,1,4,18765,60417,NGJ1
1607295600570011613,1607295600047405139,0,1,111291,T,N,0,2453000000,1,4,18238,60648,NGF1
1607295600570011613,1607295600047405139,0,1,111293,T,B,0,2466000000,1,132,18238,60648,NGG1
1607295600570011613,1607295600047405139,0,1,15228,T,N,0,-13000000,1,4,18238,60648,NGF1-NGG1
1607295600587455788,1607295600117976501,0,1,111294,T,A,0,2433000000,2,4,19331,60730,NGH1
1607295600587455788,1607295600117976501,0,1,111294,T,A,0,2432000000,3,132,19331,60730,NGH1
1607295600587455788,1607295600117976501,0,1,61550,T,N,0,8250000,2,4,19331,60730,NGH1-HHH1
1607295600587455788,1607295600117976501,0,1,61550,T,N,0,7750000,3,4,19331,60730,NGH1-HHH1
1607295600589190841,1607295600169142969,0,1,15228,T,N,0,-13000000,1,4,17920,60735,NGF1-NGG1
1607295600589190841,1607295600169142969,0,1,111293,T,B,0,2466000000,1,132,17920,60735,NGG1
1607295600589190841,1607295600169142969,0,1,111291,T,N,0,2453000000,1,4,17920,60735,NGF1
1607295600600542756,1607295600252375953,0,1,111291,T,A,0,2449000000,7,132,18723,60778,NGF1
1607295600600542756,1607295600252375953,0,1,111296,T,N,0,2391000000,7,4,18723,60778,NGJ1
1607295600600542756,1607295600252375953,0,1,24441,T,N,0,58000000,7,4,18723,60778,NGF1-NGJ1
1607295600607915782,1607295600431686193,0,1,15228,T,A,0,-13000000,8,4,17862,60807,NGF1-NGG1
1607295600610227978,1607295600459696435,0,1,15228,T,N,0,-13000000,1,4,19183,60832,NGF1-NGG1
