ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1606348824680080492,1606348824679397025,0,1,111291,T,A,0,2926000000,3,0,28092,25684928,NGF1
1606348824680080492,1606348824679397025,0,1,111291,T,A,0,2925000000,1,0,28092,25684928,NGF1
1606348824689095935,1606348824685952425,0,1,24512,T,N,0,131000000,1,0,18846,25685086,NGH1-NGJ1
1606348824689095935,1606348824685952425,0,1,111296,T,N,0,2705000000,1,0,18846,25685086,NGJ1
1606348824689095935,1606348824685952425,0,1,111294,T,B,0,2836000000,1,0,18846,25685086,NGH1
1606348829144473855,1606348829143839755,0,1,111291,T,A,0,2924000000,5,0,25187,25685215,NGF1
1606348829144473855,1606348829143839755,0,1,15228,T,N,0,16000000,1,0,25187,25685215,NGF1-NGG1
1606348829144473855,1606348829143839755,0,1,111293,T,N,0,2908000000,1,0,25187,25685215,NGG1
1606348829152814091,1606348829152474285,0,1,111291,T,N,0,2924000000,2,0,18199,25685253,NGF1
1606348829152814091,1606348829152474285,0,1,111294,T,B,0,2836000000,2,0,18199,25685253,NGH1
1606348829152814091,1606348829152474285,0,1,215879,T,N,0,88000000,2,0,18199,25685253,NGF1-NGH1
1606348830102069764,1606348830101677321,0,1,111291,T,B,0,2925000000,1,0,24377,25685305,NGF1
1606348841212526400,1606348841211837225,0,1,111291,T,B,0,2925000000,1,0,26064,25685352,NGF1
1606348842066307487,1606348842065994561,0,1,111291,T,A,0,2924000000,2,0,24096,25685361,NGF1
1606348844145770255,1606348844144997649,0,1,111291,T,A,0,2923000000,4,0,23310,25685391,NGF1
1606348844145783719,1606348844144997649,0,1,111291,T,A,0,2923000000,1,0,19414,25685392,NGF1
1606348844148172710,1606348844145801425,0,1,111291,T,A,0,2923000000,1,0,21008,25685400,NGF1
1606348844149305564,1606348844148156799,0,1,111291,T,A,0,2923000000,1,0,23069,25685428,NGF1
1606348844151007065,1606348844149144151,0,1,111294,T,B,0,2835000000,1,0,20215,25685462,NGH1
1606348845970127222,1606348845969320319,0,1,111291,T,A,0,2922000000,4,0,21933,25685681,NGF1
1606348845970140878,1606348845969320319,0,1,111291,T,A,0,2921000000,1,0,20254,25685682,NGF1
1606348845970140878,1606348845969320319,0,1,111291,T,A,0,2921000000,1,0,20254,25685682,NGF1
1606348845970184938,1606348845969320319,0,1,111291,T,A,0,2921000000,1,0,19919,25685683,NGF1
