ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1609110000428384198,1609110000000000000,0,1,111291,T,N,0,2311000000,97,4,22933,61892,NGF1
1609110000434317247,1609110000000000000,0,1,15228,T,N,0,-5000000,79,4,21254,61893,NGF1-NGG1
1609110000447322287,1609110000000000000,0,1,215879,T,N,0,-10000000,10,4,19855,61894,NGF1-NGH1
1609110000448988976,1609110000000000000,0,1,111293,T,N,0,2322000000,432,4,28825,61895,NGG1
1609110000461523841,1609110000000000000,0,1,215880,T,N,0,5000000,260,4,23481,61898,NGG1-NGH1
1609110000466270464,1609110000000000000,0,1,24463,T,N,0,-5000000,70,4,20564,61899,NGG1-NGJ1
1609110000468783224,1609110000000000000,0,1,129856,T,N,0,2870000000,1,4,19084,61900,NGG2
1609110000469008295,1609110000000000000,0,1,307493,T,N,0,135000000,1,4,18230,61901,NGG2-NGH2
1609110000469887306,1609110000000000000,0,1,111294,T,N,0,2329000000,89,4,23345,61902,NGH1
1609110000472179325,1609110000000000000,0,1,24512,T,N,0,-29000000,117,4,20715,61903,NGH1-NGJ1
1609110000475821587,1609110000000000000,0,1,111296,T,N,0,2351000000,18,4,20078,61904,NGJ1
1609110000476757609,1609110000000000000,0,1,204979,T,N,0,-23000000,15,4,19396,61905,NGJ1-NGK1
1609110000480339730,1609110000000000000,0,1,121360,T,N,0,-70000000,1,4,19391,61906,NGJ1-NGM1
1609110000480651190,1609110000000000000,0,1,156565,T,N,0,2400000000,1,4,18164,61907,NGJ2
1609110000480790557,1609110000000000000,0,1,111298,T,N,0,2401000000,7,4,19330,61908,NGK1
1609110000482228287,1609110000000000000,0,1,121372,T,N,0,-55000000,35,4,19864,61909,NGK1-NGM1
1609110000482792986,1609110000000000000,0,1,192030,T,N,0,2383000000,25,4,18449,61910,NGK2
1609110000482897001,1609110000000000000,0,1,111299,T,N,0,2478000000,53,4,19992,61911,NGM1
1609110000483236981,1609110000000000000,0,1,62831,T,N,0,-66000000,145,4,18994,61912,NGM1-NGN1
1609110000484935654,1609110000000000000,0,1,15052,T,N,0,-28000000,2,4,19322,61913,NGN1-NGQ1
1609110000485311861,1609110000000000000,0,1,159689,T,N,0,2440000000,40,4,19319,61914,NGN2
1609110000485389813,1609110000000000000,0,1,111303,T,N,0,2523000000,1,4,18056,61915,NGQ1
1609110000485494656,1609110000000000000,0,1,111311,T,N,0,2649000000,1,4,17916,61916,NGV1
1609110000485608108,1609110000000000000,0,1,19540,T,N,0,-292000000,1,4,17705,61917,NGV1-NGF2
1609110000486438615,1609110000000000000,0,1,111313,T,N,0,2650000000,14,4,19228,61918,NGX1
1609110000486520355,1609110000000000000,0,1,158336,T,N,0,-129000000,1,4,17509,61919,NGX1-NGZ1
1609110000486786530,1609110000000000000,0,1,111314,T,N,0,2830000000,2,4,18463,61920,NGZ1
1609110000528211962,1609110000000000000,0,1,111296,T,N,0,2351000000,8,4,34009,62038,NGJ1
1609110000528211962,1609110000000000000,0,1,111296,T,N,0,2355000000,8,4,34009,62038,NGJ1
1609110000528211962,1609110000000000000,0,1,111296,T,N,0,2375000000,12,4,34009,62038,NGJ1
1609110000528211962,1609110000000000000,0,1,111296,T,N,0,2381000000,1,4,34009,62038,NGJ1
1609110000528211962,1609110000000000000,0,1,111296,T,N,0,2384000000,3,4,34009,62038,NGJ1
1609110000528211962,1609110000000000000,0,1,111296,T,N,0,2400000000,1,4,34009,62038,NGJ1
1609110000528211962,1609110000000000000,0,1,111294,T,N,0,2328000000,1,4,34009,62038,NGH1
1609110000528211962,1609110000000000000,0,1,111294,T,N,0,2329000000,24,4,34009,62038,NGH1
1609110000528211962,1609110000000000000,0,1,111294,T,N,0,2334000000,51,4,34009,62038,NGH1
1609110000528211962,1609110000000000000,0,1,111294,T,N,0,2339000000,41,4,34009,62038,NGH1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2322000000,8,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2323000000,18,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2324000000,3,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2327000000,16,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2328000000,16,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2329000000,20,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2330000000,5,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2332000000,7,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,111293,T,N,0,2334000000,6,4,34009,62038,NGG1
1609110000528211962,1609110000000000000,0,1,215879,T,N,0,-13000000,1,4,34009,62038,NGF1-NGH1
1609110000528211962,1609110000000000000,0,1,15228,T,N,0,-7000000,8,4,34009,62038,NGF1-NGG1
1609110000528211962,1609110000000000000,0,1,111291,T,N,0,2315000000,9,4,34009,62038,NGF1
1609110000528211962,1609110000000000000,0,1,61251,T,N,0,-7000000,18,4,34009,62038,NGG1-HHG1
1609110000528211962,1609110000000000000,0,1,61251,T,N,0,-6000000,3,4,34009,62038,NGG1-HHG1
1609110000528211962,1609110000000000000,0,1,61251,T,N,0,-3000000,14,4,34009,62038,NGG1-HHG1
1609110000528211962,1609110000000000000,0,1,61251,T,N,0,-2000000,16,4,34009,62038,NGG1-HHG1
1609110000528211962,1609110000000000000,0,1,61251,T,N,0,-1000000,20,4,34009,62038,NGG1-HHG1
1609110000528211962,1609110000000000000,0,1,61251,T,N,0,0,5,4,34009,62038,NGG1-HHG1
1609110000528211962,1609110000000000000,0,1,61251,T,N,0,2000000,5,4,34009,62038,NGG1-HHG1
1609110000528211962,1609110000000000000,0,1,61251,T,N,0,4000000,3,4,34009,62038,NGG1-HHG1
1609110000528211962,1609110000000000000,0,1,61088,T,N,0,5500000,8,4,34009,62038,NGJ1-HHJ1
1609110000528211962,1609110000000000000,0,1,61088,T,N,0,-91000000,8,4,34009,62038,NGJ1-HHJ1
1609110000528211962,1609110000000000000,0,1,61088,T,N,0,-87000000,8,4,34009,62038,NGJ1-HHJ1
1609110000528211962,1609110000000000000,0,1,61088,T,N,0,-67000000,12,4,34009,62038,NGJ1-HHJ1
1609110000528211962,1609110000000000000,0,1,61088,T,N,0,-61000000,1,4,34009,62038,NGJ1-HHJ1
1609110000528211962,1609110000000000000,0,1,61088,T,N,0,-58000000,3,4,34009,62038,NGJ1-HHJ1
1609110000528211962,1609110000000000000,0,1,61088,T,N,0,-42000000,1,4,34009,62038,NGJ1-HHJ1
1609110000528211962,1609110000000000000,0,1,7261,T,N,0,-5500000,2,4,34009,62038,NG:HH H1-J1
1609110000528211962,1609110000000000000,0,1,107296,T,N,0,-9000000,2,4,34009,62038,NG:HH G1-H1
1609110000528211962,1609110000000000000,0,1,107296,T,N,0,-4000000,2,4,34009,62038,NG:HH G1-H1
1609110000528211962,1609110000000000000,0,1,107296,T,N,0,-2000000,3,4,34009,62038,NG:HH G1-H1
1609110000528211962,1609110000000000000,0,1,61550,T,N,0,6000000,7,4,34009,62038,NGH1-HHH1
1609110000528211962,1609110000000000000,0,1,61550,T,N,0,-5000000,24,4,34009,62038,NGH1-HHH1
1609110000528211962,1609110000000000000,0,1,61550,T,N,0,0,49,4,34009,62038,NGH1-HHH1
1609110000528211962,1609110000000000000,0,1,61550,T,N,0,5000000,41,4,34009,62038,NGH1-HHH1
1609110000528220497,1609110000000000000,0,1,61088,T,N,0,-20000000,3,4,25218,62039,NGJ1-HHJ1
1609110000528220497,1609110000000000000,0,1,61088,T,N,0,-10000000,1,4,25218,62039,NGJ1-HHJ1
1609110000528220497,1609110000000000000,0,1,111296,T,N,0,2422000000,3,4,25218,62039,NGJ1
1609110000528220497,1609110000000000000,0,1,111296,T,N,0,2432000000,1,4,25218,62039,NGJ1
1609110000528220497,1609110000000000000,0,1,111298,T,N,0,2401000000,27,4,25218,62039,NGK1
1609110000528220497,1609110000000000000,0,1,111298,T,N,0,2408000000,11,4,25218,62039,NGK1
1609110000528220497,1609110000000000000,0,1,111298,T,N,0,2412000000,1,4,25218,62039,NGK1
1609110000528220497,1609110000000000000,0,1,60141,T,N,0,5750000,53,4,25218,62039,NGM1-HHM1
1609110000528220497,1609110000000000000,0,1,6417,T,N,0,46500000,6,4,25218,62039,NG:HH J1-K1
1609110000528220497,1609110000000000000,0,1,1003,T,N,0,-46750000,21,4,25218,62039,NG:HH K1-M1
1609110000528220497,1609110000000000000,0,1,1003,T,N,0,-39750000,11,4,25218,62039,NG:HH K1-M1
1609110000528245637,1609110000000000000,0,1,1003,T,N,0,-35750000,1,4,22678,62040,NG:HH K1-M1
1609110000528245637,1609110000000000000,0,1,1003,T,N,0,-32750000,5,4,22678,62040,NG:HH K1-M1
1609110000528245637,1609110000000000000,0,1,1003,T,N,0,-29750000,1,4,22678,62040,NG:HH K1-M1
1609110000528245637,1609110000000000000,0,1,1003,T,N,0,-20750000,14,4,22678,62040,NG:HH K1-M1
1609110000528245637,1609110000000000000,0,1,1003,T,N,0,-20500000,6,4,22678,62040,NG:HH K1-M1
1609110000528245637,1609110000000000000,0,1,1003,T,N,0,-2500000,20,4,22678,62040,NG:HH K1-M1
1609110000528245637,1609110000000000000,0,1,60141,T,N,0,5500000,26,4,22678,62040,NGM1-HHM1
1609110000528245637,1609110000000000000,0,1,60141,T,N,0,-89000000,36,4,22678,62040,NGM1-HHM1
1609110000528245637,1609110000000000000,0,1,60141,T,N,0,-81000000,11,4,22678,62040,NGM1-HHM1
1609110000528245637,1609110000000000000,0,1,60141,T,N,0,-78000000,1,4,22678,62040,NGM1-HHM1
1609110000528245637,1609110000000000000,0,1,60141,T,N,0,-77000000,2,4,22678,62040,NGM1-HHM1
1609110000528245637,1609110000000000000,0,1,60141,T,N,0,-67000000,1,4,22678,62040,NGM1-HHM1
1609110000528245637,1609110000000000000,0,1,60141,T,N,0,-40000000,1,4,22678,62040,NGM1-HHM1
1609110000528245637,1609110000000000000,0,1,111298,T,N,0,2415000000,5,4,22678,62040,NGK1
1609110000528245637,1609110000000000000,0,1,111298,T,N,0,2418000000,1,4,22678,62040,NGK1
1609110000528245637,1609110000000000000,0,1,111298,T,N,0,2427000000,20,4,22678,62040,NGK1
1609110000528245637,1609110000000000000,0,1,111298,T,N,0,2445000000,20,4,22678,62040,NGK1
1609110000528245637,1609110000000000000,0,1,111303,T,N,0,2524000000,1,4,22678,62040,NGQ1
1609110000528245637,1609110000000000000,0,1,15052,T,N,0,-28000000,8,4,22678,62040,NGN1-NGQ1
1609110000528245637,1609110000000000000,0,1,62831,T,N,0,-66000000,16,4,22678,62040,NGM1-NGN1
1609110000528245637,1609110000000000000,0,1,111299,T,N,0,2478000000,36,4,22678,62040,NGM1
1609110000528245637,1609110000000000000,0,1,111299,T,N,0,2486000000,11,4,22678,62040,NGM1
1609110000528245637,1609110000000000000,0,1,111299,T,N,0,2489000000,1,4,22678,62040,NGM1
1609110000528245637,1609110000000000000,0,1,111299,T,N,0,2490000000,2,4,22678,62040,NGM1
1609110000528245637,1609110000000000000,0,1,111299,T,N,0,2500000000,1,4,22678,62040,NGM1
1609110000528245637,1609110000000000000,0,1,111299,T,N,0,2527000000,1,4,22678,62040,NGM1
1609110000528245637,1609110000000000000,0,1,121372,T,N,0,-54000000,16,4,22678,62040,NGK1-NGM1
1609110000528245637,1609110000000000000,0,1,61114,T,N,0,0,1,4,22678,62040,NGN1-HHN1
1609110000528245637,1609110000000000000,0,1,34802,T,N,0,12000000,16,4,22678,62040,NG:BF K1-M1-N1
1609110000528245637,1609110000000000000,0,1,111301,T,N,0,2600000000,1,4,22678,62040,NGN1
1609110000528245637,1609110000000000000,0,1,61644,T,N,0,-18000000,1,4,22678,62040,NGQ1-HHQ1
1609110000528245637,1609110000000000000,0,1,282784,T,N,0,6000000,8,4,22678,62040,NGQ1-NGU1
1609110000528245637,1609110000000000000,0,1,32906,T,N,0,-34000000,8,4,22678,62040,NG:BF N1-Q1-U1
1609110000599427329,1609110000000747457,0,1,61550,T,N,0,5750000,1,4,21520,62247,NGH1-HHH1
1609110000599427329,1609110000000747457,0,1,111294,T,A,0,2330000000,1,132,21520,62247,NGH1
1609110000602880767,1609110000008694775,0,1,111291,T,N,0,2317000000,1,4,18642,62274,NGF1
1609110000602880767,1609110000008694775,0,1,15228,T,N,0,-7000000,1,4,18642,62274,NGF1-NGG1
1609110000602880767,1609110000008694775,0,1,111293,T,B,0,2324000000,1,132,18642,62274,NGG1
1609110000604537820,1609110000020203307,0,1,111293,T,N,0,2320000000,5,4,20849,62280,NGG1
