ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1610319600388468162,1610319600000000000,0,1,8605,T,N,0,20000000,2,4,19121,60944,NG:BF H1-J1-K1
1610319600389903295,1610319600000000000,0,1,111293,T,N,0,2600000000,260,4,27492,60945,NGG1
1610319600396370587,1610319600000000000,0,1,61251,T,N,0,9250000,7,4,20931,60946,NGG1-HHG1
1610319600396585223,1610319600000000000,0,1,215880,T,N,0,32000000,47,4,21955,60947,NGG1-NGH1
1610319600402106725,1610319600000000000,0,1,204962,T,N,0,11000000,5,4,39261,60948,NGG1-NGK1
1610319600402373828,1610319600000000000,0,1,129856,T,N,0,3000000000,3,4,20105,60949,NGG2
1610319600403168783,1610319600000000000,0,1,111294,T,N,0,2577000000,62,4,23612,60950,NGH1
1610319600407433095,1610319600000000000,0,1,24512,T,N,0,-9000000,126,4,35549,60951,NGH1-NGJ1
1610319600410459694,1610319600000000000,0,1,204963,T,N,0,-28000000,1,4,27569,60952,NGH1-NGK1
1610319600410692109,1610319600000000000,0,1,111296,T,N,0,2587000000,2,4,19425,60953,NGJ1
1610319600410957305,1610319600000000000,0,1,204979,T,N,0,-22000000,29,4,20294,60954,NGJ1-NGK1
1610319600413557520,1610319600000000000,0,1,41645,T,N,0,-175000000,11,4,19950,60955,NGJ1-NGV1
1610319600414125323,1610319600000000000,0,1,111298,T,N,0,2609000000,2,4,20461,60956,NGK1
1610319600414279815,1610319600000000000,0,1,121372,T,N,0,-57000000,2,4,18265,60957,NGK1-NGM1
1610319600414727858,1610319600000000000,0,1,111299,T,N,0,2677000000,6,4,21244,60958,NGM1
1610319600415255413,1610319600000000000,0,1,111311,T,N,0,2775000000,5,4,18575,60959,NGV1
1610319600415323113,1610319600000000000,0,1,111313,T,N,0,2827000000,1,4,19447,60960,NGX1
1610319600415396005,1610319600000000000,0,1,158336,T,N,0,-129000000,1,4,21422,60961,NGX1-NGZ1
1610319600415915468,1610319600000000000,0,1,111314,T,N,0,2954000000,1,4,18506,60962,NGZ1
1610319600449748054,1610319600000000000,0,1,61251,T,N,0,-9000000,8,4,27022,61061,NGG1-HHG1
1610319600449748054,1610319600000000000,0,1,61251,T,N,0,-8000000,20,4,27022,61061,NGG1-HHG1
1610319600449748054,1610319600000000000,0,1,61251,T,N,0,-7000000,4,4,27022,61061,NGG1-HHG1
1610319600449748054,1610319600000000000,0,1,61251,T,N,0,-5000000,2,4,27022,61061,NGG1-HHG1
1610319600449748054,1610319600000000000,0,1,61251,T,N,0,-3000000,1,4,27022,61061,NGG1-HHG1
1610319600449748054,1610319600000000000,0,1,61251,T,N,0,-2000000,7,4,27022,61061,NGG1-HHG1
1610319600449748054,1610319600000000000,0,1,61251,T,N,0,1000000,2,4,27022,61061,NGG1-HHG1
1610319600449748054,1610319600000000000,0,1,61251,T,N,0,7000000,1,4,27022,61061,NGG1-HHG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2600000000,8,4,27022,61061,NGG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2601000000,20,4,27022,61061,NGG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2602000000,4,4,27022,61061,NGG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2604000000,2,4,27022,61061,NGG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2606000000,1,4,27022,61061,NGG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2607000000,7,4,27022,61061,NGG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2610000000,2,4,27022,61061,NGG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2616000000,1,4,27022,61061,NGG1
1610319600449748054,1610319600000000000,0,1,111293,T,N,0,2618000000,1,4,27022,61061,NGG1
1610319600449765714,1610319600000000000,0,1,61251,T,N,0,9000000,1,4,21177,61062,NGG1-HHG1
1610319600449765714,1610319600000000000,0,1,111298,T,N,0,2610000000,1,4,21177,61062,NGK1
1610319600449765714,1610319600000000000,0,1,204979,T,N,0,-23000000,13,4,21177,61062,NGJ1-NGK1
1610319600449765714,1610319600000000000,0,1,204979,T,N,0,-24000000,20,4,21177,61062,NGJ1-NGK1
1610319600449765714,1610319600000000000,0,1,111296,T,N,0,2582000000,7,4,21177,61062,NGJ1
1610319600449765714,1610319600000000000,0,1,24512,T,N,0,-9000000,1,4,21177,61062,NGH1-NGJ1
1610319600449765714,1610319600000000000,0,1,24512,T,N,0,-6000000,27,4,21177,61062,NGH1-NGJ1
1610319600449765714,1610319600000000000,0,1,111294,T,N,0,2579000000,6,4,21177,61062,NGH1
1610319600449765714,1610319600000000000,0,1,8605,T,N,0,20000000,6,4,21177,61062,NG:BF H1-J1-K1
1610319600449765714,1610319600000000000,0,1,8605,T,N,0,19000000,1,4,21177,61062,NG:BF H1-J1-K1
1610319600449765714,1610319600000000000,0,1,8605,T,N,0,17000000,7,4,21177,61062,NG:BF H1-J1-K1
1610319600449765714,1610319600000000000,0,1,8605,T,N,0,18000000,20,4,21177,61062,NG:BF H1-J1-K1
1610319600524386274,1610319600010461069,0,1,215880,T,A,0,32000000,3,4,18715,61311,NGG1-NGH1
1610319600528445194,1610319600019215435,0,1,215880,T,N,0,32000000,5,4,20555,61362,NGG1-NGH1
1610319600528445194,1610319600019215435,0,1,215880,T,N,0,33000000,3,4,20555,61362,NGG1-NGH1
1610319600528445194,1610319600019215435,0,1,111294,T,N,0,2580000000,6,4,20555,61362,NGH1
1610319600528445194,1610319600019215435,0,1,111294,T,N,0,2581000000,2,4,20555,61362,NGH1
1610319600528445194,1610319600019215435,0,1,111293,T,B,0,2612000000,5,4,20555,61362,NGG1
1610319600528445194,1610319600019215435,0,1,111293,T,B,0,2613000000,1,4,20555,61362,NGG1
1610319600528445194,1610319600019215435,0,1,111293,T,B,0,2614000000,2,132,20555,61362,NGG1
1610319600529352893,1610319600019675105,0,1,111293,T,B,0,2614000000,2,4,18992,61368,NGG1
1610319600529352893,1610319600019675105,0,1,111293,T,B,0,2615000000,3,132,18992,61368,NGG1
1610319600529352893,1610319600019675105,0,1,111294,T,N,0,2581000000,2,4,18992,61368,NGH1
1610319600529352893,1610319600019675105,0,1,111294,T,N,0,2582000000,3,4,18992,61368,NGH1
1610319600529352893,1610319600019675105,0,1,215880,T,N,0,33000000,5,4,18992,61368,NGG1-NGH1
1610319600557741605,1610319600180953905,0,1,204979,T,A,0,-24000000,8,4,20170,61496,NGJ1-NGK1
1610319600577878564,1610319600358346059,0,1,215880,T,A,0,31000000,5,4,28469,61555,NGG1-NGH1
1610319600577977632,1610319600391638391,0,1,111293,T,A,0,2612000000,7,132,18589,61557,NGG1
1610319600577977632,1610319600391638391,0,1,61251,T,N,0,9000000,7,4,18589,61557,NGG1-HHG1
1610319600578609791,1610319600393829755,0,1,61251,T,N,0,9000000,7,4,18543,61559,NGG1-HHG1
1610319600578609791,1610319600393829755,0,1,111293,T,A,0,2612000000,7,132,18543,61559,NGG1
1610319600579454053,1610319600398172967,0,1,111293,T,A,0,2612000000,4,4,23989,61563,NGG1
1610319600579454053,1610319600398172967,0,1,111293,T,A,0,2610000000,1,4,23989,61563,NGG1
1610319600579454053,1610319600398172967,0,1,111293,T,A,0,2608000000,2,132,23989,61563,NGG1
1610319600579454053,1610319600398172967,0,1,61251,T,N,0,9000000,4,4,23989,61563,NGG1-HHG1
1610319600579454053,1610319600398172967,0,1,215880,T,N,0,31000000,1,4,23989,61563,NGG1-NGH1
1610319600579454053,1610319600398172967,0,1,111294,T,N,0,2577000000,2,4,23989,61563,NGH1
1610319600579454053,1610319600398172967,0,1,24512,T,N,0,-10000000,1,4,23989,61563,NGH1-NGJ1
